Runs :50
Difference : 1.0E-4
0.0863000 50 0 0.0
0.0864000 50 0 0.0
0.0865000 50 0 0.0
0.0866000 50 0 0.0
0.0867000 50 0 0.0
0.0868000 50 0 0.0
0.0869000 50 0 0.0
0.0870000 50 0 0.0
0.0871000 50 0 0.0
0.0872000 50 0 0.0
0.0873000 50 0 0.0
0.0874000 50 0 0.0
0.0875000 50 0 0.0
0.0876000 50 0 0.0
0.0877000 50 0 0.0
0.0878000 50 0 0.0
0.0879000 50 0 0.0
0.0880000 50 0 0.0
0.0881000 50 0 0.0
0.0882000 50 0 0.0
0.0883000 50 0 0.0
0.0884000 50 0 0.0
0.0885000 50 0 0.0
0.0886000 50 0 0.0
0.0887000 50 0 0.0
0.0888000 50 0 0.0
0.0889000 50 0 0.0
0.0890000 50 0 0.0
0.0891000 50 0 0.0
0.0892000 50 0 0.0
0.0893000 50 0 0.0
0.0894000 50 0 0.0
0.0895000 50 0 0.0
0.0896000 50 0 0.0
0.0897000 50 0 0.0
0.0898000 50 0 0.0
0.0899000 50 0 0.0
0.0900000 50 0 0.0
0.0901000 50 0 0.0
0.0902000 50 0 0.0
0.0903000 50 0 0.0
0.0904000 50 0 0.0
0.0905000 50 0 0.0
0.0906000 50 0 0.0
0.0907000 50 0 0.0
0.0908000 50 0 0.0
0.0909000 50 0 0.0
0.0910000 50 0 0.0
0.0911000 50 0 0.0
0.0912000 50 0 0.0
0.0913000 50 0 0.0
0.0914000 50 0 0.0
0.0915000 50 0 0.0
0.0916000 50 0 0.0
0.0917000 50 0 0.0
0.0918000 50 0 0.0
0.0919000 50 0 0.0
0.0920000 50 0 0.0
0.0921000 50 0 0.0
0.0922000 50 0 0.0
0.0923000 50 0 0.0
0.0924000 50 0 0.0
0.0925000 50 0 0.0
0.0926000 50 0 0.0
0.0927000 50 0 0.0
0.0928000 50 0 0.0
0.0929000 50 0 0.0
0.0930000 50 0 0.0
0.0931000 50 0 0.0
0.0932000 50 0 0.0
0.0933000 50 0 0.0
0.0934000 50 0 0.0
0.0935000 50 0 0.0
0.0936000 50 0 0.0
0.0937000 50 0 0.0
0.0938000 50 0 0.0
0.0939000 50 0 0.0
0.0940000 50 0 0.0
0.0941000 50 0 0.0
0.0942000 50 0 0.0
0.0943000 50 0 0.0
0.0944000 50 0 0.0
0.0945000 50 0 0.0
0.0946000 50 0 0.0
0.0947000 50 0 0.0
0.0948000 50 0 0.0
0.0949000 50 0 0.0
0.0950000 50 0 0.0
0.0951000 50 0 0.0
0.0952000 50 0 0.0
0.0953000 50 0 0.0
0.0954000 50 0 0.0
0.0955000 50 0 0.0
0.0956000 50 0 0.0
0.0957000 50 0 0.0
0.0958000 50 0 0.0
0.0959000 50 0 0.0
0.0960000 50 0 0.0
0.0961000 50 0 0.0
0.0962000 50 0 0.0
0.0963000 50 0 0.0
0.0964000 50 0 0.0
0.0965000 50 0 0.0
0.0966000 50 0 0.0
0.0967000 50 0 0.0
0.0968000 50 0 0.0
0.0969000 50 0 0.0
0.0970000 50 0 0.0
0.0971000 50 0 0.0
0.0972000 50 0 0.0
0.0973000 50 0 0.0
0.0974000 50 0 0.0
0.0975000 50 0 0.0
0.0976000 50 0 0.0
0.0977000 50 0 0.0
0.0978000 50 0 0.0
0.0979000 50 0 0.0
0.0980000 50 0 0.0
0.0981000 50 0 0.0
0.0982000 50 0 0.0
0.0983000 50 0 0.0
0.0984000 50 0 0.0
0.0985000 50 0 0.0
0.0986000 50 0 0.0
0.0987000 50 0 0.0
0.0988000 50 0 0.0
0.0989000 50 0 0.0
0.0990000 50 0 0.0
