Runs: 500
Size : 50
60 2018 0.5605556
60 2109 0.5858333
60 2148 0.5966667
60 2298 0.6383333
60 2194 0.60944444
60 2152 0.5977778
60 2290 0.63611114
60 2165 0.6013889
60 2187 0.6075
60 2141 0.5947222
60 2107 0.5852778
60 2185 0.60694444
60 2118 0.5883333
60 2124 0.59
60 2313 0.6425
60 2205 0.6125
60 1968 0.5466667
60 2316 0.6433333
60 2112 0.58666664
60 2061 0.5725
60 2084 0.5788889
60 2149 0.59694445
60 2077 0.5769445
60 2046 0.5683333
60 2172 0.60333335
60 1879 0.52194446
60 2204 0.6122222
60 2134 0.5927778
60 2199 0.61083335
60 2120 0.5888889
60 2231 0.61972225
60 2050 0.5694444
60 2126 0.59055555
60 2091 0.5808333
60 2162 0.60055554
60 2153 0.59805554
60 2072 0.57555556
60 2125 0.5902778
60 2324 0.64555556
60 2130 0.59166664
60 2133 0.5925
60 2067 0.57416666
60 2248 0.6244444
60 2073 0.5758333
60 2130 0.59166664
60 2170 0.6027778
60 2128 0.5911111
60 2188 0.6077778
60 2082 0.5783333
60 2219 0.6163889
60 2220 0.6166667
60 2072 0.57555556
60 2140 0.59444445
60 2144 0.59555554
60 2108 0.58555555
60 2176 0.60444444
60 2334 0.6483333
60 2227 0.6186111
60 1978 0.54944444
60 2077 0.5769445
60 2246 0.6238889
60 2076 0.57666665
60 2089 0.5802778
60 2287 0.63527775
60 2046 0.5683333
60 2053 0.57027775
60 2243 0.6230556
60 2202 0.6116667
60 2170 0.6027778
60 2088 0.58
60 2175 0.6041667
60 2057 0.5713889
60 2156 0.5988889
60 2216 0.6155556
60 2161 0.6002778
60 2093 0.5813889
60 2153 0.59805554
60 2056 0.5711111
60 2049 0.56916666
60 2063 0.57305557
60 2158 0.59944445
60 2196 0.61
60 2239 0.6219444
60 1958 0.54388887
60 2240 0.62222224
60 1973 0.5480555
60 2037 0.56583333
60 2196 0.61
60 1929 0.53583336
60 2182 0.6061111
60 2125 0.5902778
60 1951 0.54194444
60 2292 0.63666666
60 2184 0.6066667
60 2192 0.60888886
60 2125 0.5902778
60 2123 0.5897222
60 2249 0.62472224
60 2116 0.5877778
60 2056 0.5711111
60 2068 0.5744445
60 2152 0.5977778
60 2140 0.59444445
60 2053 0.57027775
60 2043 0.5675
60 1938 0.53833336
60 2133 0.5925
60 1974 0.54833335
60 2130 0.59166664
60 2089 0.5802778
60 2110 0.5861111
60 2116 0.5877778
60 2193 0.6091667
60 2246 0.6238889
60 2206 0.61277777
60 2197 0.6102778
60 2174 0.60388887
60 2252 0.6255556
60 2165 0.6013889
60 2099 0.58305556
60 2078 0.5772222
60 2234 0.6205556
60 2111 0.5863889
60 1941 0.5391667
60 2031 0.56416667
60 2053 0.57027775
60 2126 0.59055555
60 2219 0.6163889
60 2031 0.56416667
60 2120 0.5888889
60 2237 0.6213889
60 2218 0.6161111
60 2005 0.55694443
60 2054 0.57055557
60 2173 0.6036111
60 2087 0.5797222
60 2229 0.6191667
60 2154 0.59833336
60 2243 0.6230556
60 2143 0.5952778
60 2120 0.5888889
60 2176 0.60444444
60 2213 0.61472225
60 2137 0.5936111
60 2140 0.59444445
60 2076 0.57666665
60 2099 0.58305556
60 2058 0.57166666
60 2079 0.5775
60 2092 0.58111113
60 2045 0.56805557
60 2136 0.5933333
60 2150 0.5972222
60 2167 0.60194445
60 2258 0.62722224
60 2178 0.605
60 1998 0.555
60 2067 0.57416666
60 1945 0.5402778
60 2012 0.5588889
60 2300 0.6388889
60 2062 0.57277775
60 2206 0.61277777
60 2217 0.61583334
60 2182 0.6061111
60 2063 0.57305557
60 2159 0.5997222
60 2055 0.5708333
60 2055 0.5708333
60 2113 0.58694446
60 2143 0.5952778
60 2256 0.62666667
60 2107 0.5852778
60 2221 0.61694443
60 2084 0.5788889
60 2176 0.60444444
60 2113 0.58694446
60 2192 0.60888886
60 2210 0.61388886
60 2094 0.58166665
60 1991 0.5530556
60 2240 0.62222224
60 1921 0.5336111
60 2137 0.5936111
60 2095 0.58194447
60 2200 0.6111111
60 2098 0.5827778
60 2089 0.5802778
60 2079 0.5775
60 2269 0.63027775
60 2085 0.57916665
60 1986 0.5516667
60 2212 0.61444443
60 2079 0.5775
